Comment,Designator,Footprint,LCSC,Quantity
NUCLEO-F446RE,U9,MODULE_NUCLEO-F446RE,,1
YAAJ_BluePill_Part_Like,U4,YAAJ_WeAct_BlackPill_SWD_2,,1
NUCLEO-F303RE,U3,ST_NUCLEO-F303RE,,1
NUCLEO-H753ZI,U1,MODULE_NUCLEO-H753ZI,,1
LED_WARN,D18,LED_0603_1608Metric,,1
LED_FAIL,D17,LED_0603_1608Metric,,1
LED_OK,D16,LED_0603_1608Metric,,1
LED_PWR,D15,LED_0603_1608Metric,,1
LED_WARN,D14,LED_0603_1608Metric,,1
LED_FAIL,D13,LED_0603_1608Metric,,1
LED_OK,D12,LED_0603_1608Metric,,1
LED_PWR,D11,LED_0603_1608Metric,,1
LED_PWR,D10,LED_0603_1608Metric,,1
LED_PWR,D9,LED_0603_1608Metric,,1
LED_PWR,D8,LED_0603_1608Metric,,1
LED_PWR,D7,LED_0603_1608Metric,,1
LED_PWR,D6,LED_0603_1608Metric,,1
LED_PWR,D5,LED_0603_1608Metric,,1
LED_PWR,D4,LED_0603_1608Metric,,1
LED_WARN,D3,LED_0603_1608Metric,,1
